"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C6,C5,C2,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"0.1uF";;;
2;"C7,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
3;"U1";"Diodes_UDFN-10_1.0x2.5mm_P0.5mm";1;"D3V3XA4B10LP";;;
4;"R3,R5,R4";"R_0805_2012Metric";3;"10K";;;
5;"U3";"ESP32-S2-MINI-1U";1;"ESP32-S3-MINI-1";;;
6;"U4";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TLV75801PDRV";;;
7;"R8,R1";"R_0805_2012Metric";2;"5.1k";;;
8;"R7";"R_0805_2012Metric";1;"200k";;;
9;"reset1,boot1";"SW_TS02-66-95-BK-260-LCR-D";2;"TS02-66-95-BK-260-LCR-D";;;
10;"R2";"R_0805_2012Metric";1;"5.1K";;;
11;"D2";"LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"LED";;;
12;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
13;"U2";"AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm";1;"ENS210";;;
14;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
15;"R6";"R_0805_2012Metric";1;"1M";;;
16;"J1,J3";"PinHeader_1x22_P2.54mm_Vertical";2;"Conn_01x22_Pin";;;
